DIR:0.0	name:0	SAMPLES:[0, 1)
DIR:0.1	name:1	SAMPLES:[1, 2)
DIR:0.2	name:2	SAMPLES:[2, 3)
DIR:0.3	name:3	SAMPLES:[3, 4)
DIR:0.4	name:4	SAMPLES:[4, 5)
DIR:0.5	name:5	SAMPLES:[5, 6)
DIR:0.6	name:6	SAMPLES:[6, 7)
DIR:0.7	name:7	SAMPLES:[7, 8)
DIR:0.8	name:8	SAMPLES:[8, 9)
DIR:0.9	name:9	SAMPLES:[9, 10)
